t_id,s_id,latitude,longitude,street,city,zipcode,model
S34-T1,S34,48.85212550000001,2.331345899999974,66 RUE DE RENNES,Paris,75006,"E/F, Combo, T2, CHAdeMO, T3"
S34-T2,S34,48.85212550000001,2.331345899999974,66 RUE DE RENNES,Paris,75006,E/F
S77-T1,S77,48.837055,2.259932,4 AVENUE MARCEL DORET,Paris,75016,"T3, E/F, Combo, CHAdeMO, T2"
S77-T3,S77,48.837055,2.259932,4 AVENUE MARCEL DORET,Paris,75016,"T3, Combo, E/F, CHAdeMO, T2"
S48-T3,S48,48.832893,2.363025,137 BD VINCENT AURIOL,Paris,75013,"T3, E/F, Combo, CHAdeMO, T2"
S48-T1,S48,48.832893,2.363025,137 BD VINCENT AURIOL,Paris,75013,"T3, E/F, Combo, CHAdeMO, T2"
S48-T2,S48,48.832893,2.363025,137 BD VINCENT AURIOL,Paris,75013,E/F
S63-T1,S63,48.870628,2.33321,7 BOULEVARD DES CAPUCINES,Paris,75002,"CHAdeMO, E/F, Combo, T2, T3"
S63-T3,S63,48.870628,2.33321,7 BOULEVARD DES CAPUCINES,Paris,75002,"E/F, Combo, CHAdeMO, T2, T3"
S70-T1,S70,48.834084,2.405248,3 AVENUE DU GENERAL DODDS,Paris,75012,"Combo, T3, E/F, CHAdeMO, T2"
S70-T2,S70,48.834084,2.405248,3 AVENUE DU GENERAL DODDS,Paris,75012,E/F
S70-T3,S70,48.834084,2.405248,3 AVENUE DU GENERAL DODDS,Paris,75012,"E/F, Combo, CHAdeMO, T2, T3"
S8-T1,S8,48.8847205,2.3699612000000343,10 Avenue de Flandre,Paris,75019,"T3, E/F, Combo, CHAdeMO, T2"
S8-T2,S8,48.8847205,2.3699612000000343,10 Avenue de Flandre,Paris,75019,E/F
S8-T3,S8,48.8847205,2.3699612000000343,10 Avenue de Flandre,Paris,75019,"Combo, CHAdeMO, T3, E/F, T2"
S11-T3,S11,48.861016,2.28308,24 AVENUE PAUL DOUMER,Paris,75016,"T2, E/F, CHAdeMO, T3, Combo"
S11-T1,S11,48.861016,2.28308,24 AVENUE PAUL DOUMER,Paris,75016,"T2, CHAdeMO, T3, E/F, Combo"
S56-T3,S56,48.828454,2.3006427999999914,2 Rue Antonin Mercié,Paris,75015,"E/F, T3, Combo, T2, CHAdeMO"
S56-T1,S56,48.828454,2.3006427999999914,2 Rue Antonin Mercié,Paris,75015,"T3, Combo, E/F, T2, CHAdeMO"
S56-T2,S56,48.828454,2.3006427999999914,2 Rue Antonin Mercié,Paris,75015,E/F
S99-T1,S99,48.8778,2.39182,14 rue de Crimée,Paris,75019,"CHAdeMO, T3, E/F, Combo, T2"
S99-T2,S99,48.8778,2.39182,14 rue de Crimée,Paris,75019,E/F
S99-T3,S99,48.8778,2.39182,14 rue de Crimée,Paris,75019,"CHAdeMO, T2, E/F, Combo, T3"
S3-T3,S3,48.876162,2.286403,77 AVENUE DE LA GRANDE ARMEE,Paris,75016,"T3, Combo, E/F, CHAdeMO, T2"
S3-T1,S3,48.876162,2.286403,77 AVENUE DE LA GRANDE ARMEE,Paris,75016,"Combo, E/F, CHAdeMO, T2, T3"
S3-T2,S3,48.876162,2.286403,77 AVENUE DE LA GRANDE ARMEE,Paris,75016,E/F
S4-T3,S4,48.871465,2.289894,45 AVENUE VICTOR HUGO,Paris,75016,"E/F, CHAdeMO, T3, Combo, T2"
S4-T1,S4,48.871465,2.289894,45 AVENUE VICTOR HUGO,Paris,75016,"CHAdeMO, T2, T3, E/F, Combo"
S39-T3,S39,48.852665,2.31368,9 AVENUE DE VILLARS,Paris,75007,"T3, T2, E/F, Combo, CHAdeMO"
S39-T1,S39,48.852665,2.31368,9 AVENUE DE VILLARS,Paris,75007,"T3, E/F, CHAdeMO, T2, Combo"
S39-T2,S39,48.852665,2.31368,9 AVENUE DE VILLARS,Paris,75007,E/F
S52-T3,S52,48.86154,2.31159,22 RUE FABERT,Paris,75007,"T3, T2, E/F, CHAdeMO, Combo"
S52-T1,S52,48.86154,2.31159,22 RUE FABERT,Paris,75007,"CHAdeMO, T2, Combo, T3, E/F"
S53-T3,S53,48.835709,2.286912,55 RUE DESNOUETTES,Paris,75015,"T3, T2, E/F, CHAdeMO, Combo"
S53-T1,S53,48.835709,2.286912,55 RUE DESNOUETTES,Paris,75015,"T3, CHAdeMO, Combo, E/F, T2"
S96-T1,S96,48.835499,2.34965,21 Rue Berbier du Mets,Paris,75013,"CHAdeMO, T2, Combo, T3, E/F"
S96-T2,S96,48.835499,2.34965,21 Rue Berbier du Mets,Paris,75013,E/F
S96-T3,S96,48.835499,2.34965,21 Rue Berbier du Mets,Paris,75013,"Combo, T2, E/F, CHAdeMO, T3"
S5-T3,S5,48.865501,2.315463,3 AV DUTUIT,Paris,75008,"CHAdeMO, Combo, E/F, T2, T3"
S5-T1,S5,48.865501,2.315463,3 AV DUTUIT,Paris,75008,"T2, T3, CHAdeMO, Combo, E/F"
S5-T2,S5,48.865501,2.315463,3 AV DUTUIT,Paris,75008,E/F
S69-T1,S69,48.847446,2.38804,126 BOULEVARD DIDEROT,Paris,75012,"Combo, CHAdeMO, T3, T2, E/F"
S69-T3,S69,48.847446,2.38804,126 BOULEVARD DIDEROT,Paris,75012,"CHAdeMO, Combo, T2, T3, E/F"
S12-T3,S12,48.824388,2.336857,46 AVENUE REILLE,Paris,75014,"Combo, T2, E/F, CHAdeMO, T3"
S15-T3,S15,48.846295,2.3748774000000594,2 Rue Abel,Paris,75012,"E/F, Combo, CHAdeMO, T2, T3"
S15-T1,S15,48.846295,2.3748774000000594,2 Rue Abel,Paris,75012,"E/F, T3, Combo, CHAdeMO, T2"
S15-T2,S15,48.846295,2.3748774000000594,2 Rue Abel,Paris,75012,E/F
S38-T3,S38,48.847931,2.309952,2 RUE PERIGNON,Paris,75007,"E/F, CHAdeMO, T3, T2, Combo"
S38-T1,S38,48.847931,2.309952,2 RUE PERIGNON,Paris,75007,"E/F, Combo, T3, T2, CHAdeMO"
S26-T3,S26,48.865311,2.343436,44 RUE ETIENNE MARCEL,Paris,75001,"E/F, Combo, CHAdeMO, T2, T3"
S26-T2,S26,48.865311,2.343436,44 RUE ETIENNE MARCEL,Paris,75001,E/F
S71-T3,S71,48.826504,2.343366,234 RUE DE TOLBIAC,Paris,75013,"Combo, T2, E/F, CHAdeMO, T3"
S50-T2,S50,48.83086,2.325895,173 AV DU MAINE,Paris,75014,E/F
S50-T3,S50,48.83086,2.325895,173 AV DU MAINE,Paris,75014,"T2, Combo, CHAdeMO, T3, E/F"
S50-T1,S50,48.83086,2.325895,173 AV DU MAINE,Paris,75014,"E/F, Combo, CHAdeMO, T2, T3"
S95-T1,S95,48.868511,2.295469,37 Avenue iena,Paris,75016,"E/F, Combo, CHAdeMO, T2, T3"
S95-T2,S95,48.868511,2.295469,37 Avenue iena,Paris,75016,E/F
S95-T3,S95,48.868511,2.295469,37 Avenue iena,Paris,75016,"CHAdeMO, T2, T3, E/F, Combo"
S31-T3,S31,48.85104,2.345493,32 RUE SAINT JACQUES,Paris,75005,"CHAdeMO, E/F, T3, Combo, T2"
S31-T1,S31,48.85104,2.345493,32 RUE SAINT JACQUES,Paris,75005,"E/F, T3, Combo, CHAdeMO, T2"
S31-T2,S31,48.85104,2.345493,32 RUE SAINT JACQUES,Paris,75005,E/F
S60-T3,S60,48.874134,2.405196,227 AVENUE GAMBETTA,Paris,75020,"Combo, E/F, T3, T2, CHAdeMO"
S60-T1,S60,48.874134,2.405196,227 AVENUE GAMBETTA,Paris,75020,"T2, Combo, E/F, T3, CHAdeMO"
S64-T1,S64,48.865788,2.342244,52 RUE ETIENNE MARCEL,Paris,75002,"T2, E/F, Combo, CHAdeMO, T3"
S64-T2,S64,48.865788,2.342244,52 RUE ETIENNE MARCEL,Paris,75002,E/F
S64-T3,S64,48.865788,2.342244,52 RUE ETIENNE MARCEL,Paris,75002,"T2, T3, E/F, CHAdeMO, Combo"
S21-T3,S21,48.8260387,2.3581455999999434,145 Rue de Tolbiac,Paris,75013,"T3, Combo, T2, E/F, CHAdeMO"
S21-T1,S21,48.8260387,2.3581455999999434,145 Rue de Tolbiac,Paris,75013,"T3, T2, E/F, CHAdeMO, Combo"
S30-T3,S30,48.845715,2.345032,17 PLACE DU PANTHEON,Paris,75005,"T2, E/F, T3, Combo, CHAdeMO"
S30-T1,S30,48.845715,2.345032,17 PLACE DU PANTHEON,Paris,75005,"Combo, CHAdeMO, T2, T3, E/F"
S72-T1,S72,48.82085,2.343626,77 RUE DE L'AMIRAL MOUCHEZ,Paris,75013,"Combo, CHAdeMO, T2, T3, E/F"
S72-T2,S72,48.82085,2.343626,77 RUE DE L'AMIRAL MOUCHEZ,Paris,75013,E/F
S72-T3,S72,48.82085,2.343626,77 RUE DE L'AMIRAL MOUCHEZ,Paris,75013,"T3, E/F, Combo, CHAdeMO, T2"
S24-T2,S24,48.841742,2.375639,20 RUE VILLIOT,Paris,75012,E/F
S24-T3,S24,48.841742,2.375639,20 RUE VILLIOT,Paris,75012,"CHAdeMO, Combo, T2, T3, E/F"
S24-T1,S24,48.841742,2.375639,20 RUE VILLIOT,Paris,75012,"CHAdeMO, E/F, T2, T3, Combo"
S93-T1,S93,48.859184,2.273944,12 Boulevard Emile Augier,Paris,75116,"Combo, CHAdeMO, E/F, T2, T3"
S93-T2,S93,48.859184,2.273944,12 Boulevard Emile Augier,Paris,75116,E/F
S93-T3,S93,48.859184,2.273944,12 Boulevard Emile Augier,Paris,75116,"CHAdeMO, T3, E/F, Combo, T2"
S98-T1,S98,48.84998,2.36192,4 quai Henry IV,Paris,75004,"Combo, T2, T3, E/F, CHAdeMO"
S98-T3,S98,48.84998,2.36192,4 quai Henry IV,Paris,75004,"T2, T3, Combo, E/F, CHAdeMO"
S88-T1,S88,48.82312,2.367798,118 RUE REGNAULT,Paris,75013,"Combo, CHAdeMO, T2, T3, E/F"
S88-T2,S88,48.82312,2.367798,118 RUE REGNAULT,Paris,75013,E/F
S88-T3,S88,48.82312,2.367798,118 RUE REGNAULT,Paris,75013,"E/F, CHAdeMO, T3, Combo, T2"
S2-T1,S2,48.878897,2.355064,137 RUE LA FAYETTE,Paris,75010,"CHAdeMO, T3, Combo, E/F, T2"
S2-T2,S2,48.878897,2.355064,137 RUE LA FAYETTE,Paris,75010,E/F
S91-T1,S91,48.857094,2.403802,127 RUE DES PYRENEES,Paris,75020,"T3, Combo, CHAdeMO, T2, E/F"
S91-T2,S91,48.857094,2.403802,127 RUE DES PYRENEES,Paris,75020,E/F
S91-T3,S91,48.857094,2.403802,127 RUE DES PYRENEES,Paris,75020,"E/F, CHAdeMO, T2, T3, Combo"
S46-T3,S46,48.847485,2.401736,66 COURS DE VINCENNES,Paris,75012,"Combo, T2, E/F, T3, CHAdeMO"
S46-T1,S46,48.847485,2.401736,66 COURS DE VINCENNES,Paris,75012,"Combo, CHAdeMO, T2, E/F, T3"
S76-T1,S76,48.863602,2.27153,101 AVENUE HENRI MARTIN,Paris,75016,"T3, E/F, T2, Combo, CHAdeMO"
S76-T2,S76,48.863602,2.27153,101 AVENUE HENRI MARTIN,Paris,75016,E/F
S76-T3,S76,48.863602,2.27153,101 AVENUE HENRI MARTIN,Paris,75016,"E/F, CHAdeMO, T2, T3, Combo"
S10-T3,S10,48.86424,2.397724,13 AVENUE DU PÈRE LACHAISE,Paris,75020,"CHAdeMO, E/F, Combo, T3, T2"
S10-T1,S10,48.86424,2.397724,13 AVENUE DU PÈRE LACHAISE,Paris,75020,"Combo, T3, T2, CHAdeMO, E/F"
S83-T1,S83,48.880421,2.398476,54 BOULEVARD SERURIER,Paris,75019,"Combo, T2, T3, E/F, CHAdeMO"
S83-T2,S83,48.880421,2.398476,54 BOULEVARD SERURIER,Paris,75019,E/F
S83-T3,S83,48.880421,2.398476,54 BOULEVARD SERURIER,Paris,75019,"E/F, Combo, T3, CHAdeMO, T2"
S51-T3,S51,48.841198,2.323891,9 BD EDGARD QUINET,Paris,75014,"T3, Combo, CHAdeMO, E/F, T2"
S51-T1,S51,48.841198,2.323891,9 BD EDGARD QUINET,Paris,75014,"CHAdeMO, T3, Combo, E/F, T2"
S75-T1,S75,48.846214,2.279884,18 AVENUE EMILE ZOLA,Paris,75015,"CHAdeMO, T2, T3, E/F, Combo"
S75-T3,S75,48.846214,2.279884,18 AVENUE EMILE ZOLA,Paris,75015,"CHAdeMO, E/F, Combo, T2, T3"
S18-T3,S18,48.846761,2.268339,2 RUE CHARDON LAGACHE,Paris,75016,"Combo, T2, E/F, T3, CHAdeMO"
S18-T1,S18,48.846761,2.268339,2 RUE CHARDON LAGACHE,Paris,75016,"E/F, T3, CHAdeMO, T2, Combo"
S18-T2,S18,48.846761,2.268339,2 RUE CHARDON LAGACHE,Paris,75016,E/F
S45-T3,S45,48.858952,2.379874,4 AVENUE PARMENTIER,Paris,75011,"T2, Combo, CHAdeMO, E/F, T3"
S45-T1,S45,48.858952,2.379874,4 AVENUE PARMENTIER,Paris,75011,"T2, Combo, E/F, T3, CHAdeMO"
S89-T1,S89,48.88842,2.388149,9 RUE ADOLPHE MILLE,Paris,75019,"T3, E/F, CHAdeMO, Combo, T2"
S89-T2,S89,48.88842,2.388149,9 RUE ADOLPHE MILLE,Paris,75019,E/F
S89-T3,S89,48.88842,2.388149,9 RUE ADOLPHE MILLE,Paris,75019,"E/F, Combo, T2, CHAdeMO, T3"
S13-T3,S13,48.88264,2.335728,31 BOULEVARD DE CLICHY,Paris,75009,"T2, T3, Combo, CHAdeMO, E/F"
S13-T1,S13,48.88264,2.335728,31 BOULEVARD DE CLICHY,Paris,75009,"T2, Combo, CHAdeMO, T3, E/F"
S35-T3,S35,48.849911,2.307126,10 AV DE SAXE,Paris,75007,"E/F, T3, Combo, T2, CHAdeMO"
S35-T1,S35,48.849911,2.307126,10 AV DE SAXE,Paris,75007,"E/F, T3, Combo, T2, CHAdeMO"
S35-T2,S35,48.849911,2.307126,10 AV DE SAXE,Paris,75007,E/F
S25-T1,S25,48.89311,2.34066,110 RUE ORDENER,Paris,75018,"Combo, T2, T3, E/F, CHAdeMO"
S25-T2,S25,48.89311,2.34066,110 RUE ORDENER,Paris,75018,E/F
S25-T3,S25,48.89311,2.34066,110 RUE ORDENER,Paris,75018,"Combo, CHAdeMO, T3, E/F, T2"
S79-T1,S79,48.881168,2.313751,12 BOULEVARD DE COURCELLES,Paris,75017,"E/F, Combo, T3, CHAdeMO, T2"
S79-T3,S79,48.881168,2.313751,12 BOULEVARD DE COURCELLES,Paris,75017,"E/F, CHAdeMO, T2, T3, Combo"
S36-T1,S36,48.857552,2.30437,47 AV BOSQUET,Paris,75007,"T2, T3, E/F, Combo, CHAdeMO"
S27-T3,S27,48.86003,2.34046,1 RUE DE L'AMIRAL DE COLIGNY,Paris,75001,"Combo, T2, T3, CHAdeMO, E/F"
S27-T1,S27,48.86003,2.34046,1 RUE DE L'AMIRAL DE COLIGNY,Paris,75001,"T2, CHAdeMO, E/F, Combo, T3"
S27-T2,S27,48.86003,2.34046,1 RUE DE L'AMIRAL DE COLIGNY,Paris,75001,E/F
S78-T1,S78,48.846653,2.258213,15 BOULEVARD MURAT,Paris,75016,"T2, T3, E/F, Combo, CHAdeMO"
S78-T2,S78,48.846653,2.258213,15 BOULEVARD MURAT,Paris,75016,E/F
S78-T3,S78,48.846653,2.258213,15 BOULEVARD MURAT,Paris,75016,"E/F, CHAdeMO, T2, Combo, T3"
S84-T2,S84,48.863766,2.41177,104 RUE LOUIS LUMIERE,Paris,75020,E/F
S68-T2,S68,48.875465,2.360103,150 RUE DU FAUBOURG SAINT MARTIN,Paris,75010,E/F
S28-T2,S28,48.864719,2.359043,5 RUE DE REAUMUR,Paris,75003,E/F
S32-T2,S32,48.84477,2.35242,55 RUE MONGE,Paris,75005,E/F
S16-T2,S16,48.889731,2.33891,103 RUE CAULAINCOURT,Paris,75018,E/F
S80-T2,S80,48.897671,2.352758,150 RUE DES POISSONIERS,Paris,75018,E/F
S20-T2,S20,48.882718,2.319768,81 RUE DE ROME,Paris,75017,E/F
S94-T2,S94,48.833603,2.389173,54 Rue Baron Leroy,Paris,75013,E/F
S77-T2,S77,48.837055,2.259932,4 AVENUE MARCEL DORET,Paris,75016,E/F
S63-T2,S63,48.870628,2.33321,7 BOULEVARD DES CAPUCINES,Paris,75002,E/F
S11-T2,S11,48.861016,2.28308,24 AVENUE PAUL DOUMER,Paris,75016,E/F
S4-T2,S4,48.871465,2.289894,45 AVENUE VICTOR HUGO,Paris,75016,E/F
S52-T2,S52,48.86154,2.31159,22 RUE FABERT,Paris,75007,E/F
S53-T2,S53,48.835709,2.286912,55 RUE DESNOUETTES,Paris,75015,E/F
S69-T2,S69,48.847446,2.38804,126 BOULEVARD DIDEROT,Paris,75012,E/F
S12-T1,S12,48.824388,2.336857,46 AVENUE REILLE,Paris,75014,"Combo, T2, CHAdeMO, T3, E/F"
S12-T2,S12,48.824388,2.336857,46 AVENUE REILLE,Paris,75014,E/F
S38-T2,S38,48.847931,2.309952,2 RUE PERIGNON,Paris,75007,E/F
S26-T1,S26,48.865311,2.343436,44 RUE ETIENNE MARCEL,Paris,75001,"CHAdeMO, E/F, Combo, T2, T3"
S71-T1,S71,48.826504,2.343366,234 RUE DE TOLBIAC,Paris,75013,"T3, E/F, Combo, CHAdeMO, T2"
S71-T2,S71,48.826504,2.343366,234 RUE DE TOLBIAC,Paris,75013,E/F
S60-T2,S60,48.874134,2.405196,227 AVENUE GAMBETTA,Paris,75020,E/F
S21-T2,S21,48.8260387,2.3581455999999434,145 Rue de Tolbiac,Paris,75013,E/F
S30-T2,S30,48.845715,2.345032,17 PLACE DU PANTHEON,Paris,75005,E/F
S98-T2,S98,48.84998,2.36192,4 quai Henry IV,Paris,75004,E/F
S2-T3,S2,48.878897,2.355064,137 RUE LA FAYETTE,Paris,75010,"CHAdeMO, Combo, E/F, T3, T2"
S46-T2,S46,48.847485,2.401736,66 COURS DE VINCENNES,Paris,75012,E/F
S10-T2,S10,48.86424,2.397724,13 AVENUE DU PÈRE LACHAISE,Paris,75020,E/F
S51-T2,S51,48.841198,2.323891,9 BD EDGARD QUINET,Paris,75014,E/F
S75-T2,S75,48.846214,2.279884,18 AVENUE EMILE ZOLA,Paris,75015,E/F
S45-T2,S45,48.858952,2.379874,4 AVENUE PARMENTIER,Paris,75011,E/F
S13-T2,S13,48.88264,2.335728,31 BOULEVARD DE CLICHY,Paris,75009,E/F
S79-T2,S79,48.881168,2.313751,12 BOULEVARD DE COURCELLES,Paris,75017,E/F
S36-T3,S36,48.857552,2.30437,47 AV BOSQUET,Paris,75007,"T2, T3, E/F, Combo, CHAdeMO"
S36-T2,S36,48.857552,2.30437,47 AV BOSQUET,Paris,75007,E/F
S7-T1,S7,48.8534452,2.3868801999999505,206 Boulevard Voltaire,Paris,75011,"E/F, T2, CHAdeMO, T3, Combo"
S19-T1,S19,48.877409,2.392178,27 RUE DE CRIMEE,Paris,75019,"T2, CHAdeMO, T3, E/F, Combo"
S85-T1,S85,48.872192,2.377671,6 RUE DE BELLEVILLE,Paris,75020,"T2, E/F, Combo, CHAdeMO, T3"
S62-T3,S62,48.880698,2.321369,72 RUE DE ROME,Paris,75008,"E/F, CHAdeMO, Combo, T2, T3"
S14-T3,S14,48.840977,2.317465,43 BOULEVARD DE VAUGIRARD,Paris,75015,"T3, E/F, T2, CHAdeMO, Combo"
S33-T3,S33,48.8524588,2.3414834000000155,7 RUE DANTON,Paris,75006,"T3, Combo, CHAdeMO, T2, E/F"
S33-T1,S33,48.8524588,2.3414834000000155,7 RUE DANTON,Paris,75006,"E/F, CHAdeMO, T2, T3, Combo"
S66-T3,S66,48.851025,2.326367,20 RUE DE SEVRES,Paris,75007,"CHAdeMO, E/F, T2, Combo, T3"
S65-T3,S65,48.84824,2.339865,11 RUE DE MEDICIS,Paris,75006,"Combo, E/F, CHAdeMO, T2, T3"
S92-T3,S92,48.841663,2.286931,99 Rue de la Convention,Paris,75015,"CHAdeMO, T2, Combo, T3, E/F"
S58-T1,S58,48.879654,2.302442,83 RUE DE COURCELLES,Paris,75017,"T3, T2, E/F, CHAdeMO, Combo"
S58-T3,S58,48.879654,2.302442,83 RUE DE COURCELLES,Paris,75017,"CHAdeMO, T2, Combo, T3, E/F"
S59-T1,S59,48.883282,2.286938,2 AV DE LA PORTE DE VILLIERS,Paris,75017,"CHAdeMO, Combo, T3, T2, E/F"
S7-T3,S7,48.8534452,2.3868801999999505,206 Boulevard Voltaire,Paris,75011,"T3, T2, E/F, CHAdeMO, Combo"
S19-T3,S19,48.877409,2.392178,27 RUE DE CRIMEE,Paris,75019,"E/F, T2, Combo, T3, CHAdeMO"
S23-T1,S23,48.86535800000001,2.377938800000038,94 Rue Saint-Maur,Paris,75011,"E/F, CHAdeMO, T3, Combo, T2"
S66-T1,S66,48.851025,2.326367,20 RUE DE SEVRES,Paris,75007,"CHAdeMO, E/F, Combo, T2, T3"
S41-T3,S41,48.86937,2.303269,55 RUE PIERRE CHARRON,Paris,75008,"CHAdeMO, E/F, Combo, T2, T3"
S65-T1,S65,48.84824,2.339865,11 RUE DE MEDICIS,Paris,75006,"T2, E/F, CHAdeMO, T3, Combo"
S92-T1,S92,48.841663,2.286931,99 Rue de la Convention,Paris,75015,"E/F, Combo, T2, T3, CHAdeMO"
S1-T2,S1,48.855667,2.354089,4 PLACE SAINT GERVAIS,Paris,75004,E/F
S22-T1,S22,48.841529,2.298576,170 RUE LECOURBE,Paris,75015,"T2, Combo, CHAdeMO, T3, E/F"
S57-T1,S57,48.885689,2.297463,4 AV GOURGAUD,Paris,75017,"CHAdeMO, T3, T2, Combo, E/F"
S42-T1,S42,48.875854,2.309542,2 RUE LOUIS MURAT,Paris,75008,"Combo, E/F, T3, CHAdeMO, T2"
S66-T2,S66,48.851025,2.326367,20 RUE DE SEVRES,Paris,75007,E/F
S82-T2,S82,48.889011,2.371768,39 RUE RIQUET,Paris,75019,E/F
S22-T3,S22,48.841529,2.298576,170 RUE LECOURBE,Paris,75015,"E/F, T2, T3, Combo, CHAdeMO"
